"№ з/п","Повне найменування","Код суб'єкта управління","Назва суб'єкта управління","Організаційна форма cуб'єкта господарювання (зокрема державні підприємства - ДП, господарські товариства з КПД >50% - ГТ)"
"1","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АРХІТЕКТУРНО-БУДІВЕЛЬНИЙ ІНЖИНІРИНГ""","0100505","ВІННИЦЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"2","ДЕРЖАВНА ОРГАНІЗАЦІЯ ""СЛУЖБА МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ВІННИЦЬКІЙ ОБЛАСТІ""","0100505","ВІННИЦЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"3","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЛУЖБА МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ У ВОЛИНСЬКІЙ ОБЛАСТІ""","0100507","ВОЛИНСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"4","ДЕРЖАВНЕ ПРОМИСЛОВЕ ПІДПРИЄМСТВО ""КРИВБАСПРОМВОДОПОСТАЧАННЯ""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"5","ДЕРЖАВНЕ МІЖРАЙОННЕ ПІДПРИЄМСТВО ВОДОПРОВІДНО-КАНАЛІЗАЦІЙНОГО ГОСПОДАРСТВА ""ДНІПРО-ЗАХІДНИЙ ДОНБАС""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"6","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОПЕТРОВСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ПО ВИПРОБУВАННЮ БУДІВЕЛЬНИХ МАТЕРІАЛІВ""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"7","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УПРАВЛІННЯ СОФІЇВСЬКОГО ГРУПОВОГО ВОДОПРОВОДУ""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"8","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЖИЛКОМ""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"9","ДЕРЖАВНА ОРГАНІЗАЦІЯ ""СЛУЖБА МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЗАКАРПАТСЬКІЙ ОБЛАСТІ""","0100521","ЗАКАРПАТСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"10","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МІСЦЕВІ ДОРОГИ ЗАПОРІЗЬКОЇ ОБЛАСТІ""","0100523","ЗАПОРІЗЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"11","ДЕРЖАВНА ОРГАНІЗАЦІЯ ""ДОРОГИ ПРИКАРПАТТЯ""","0100526","ІВАНО-ФРАНКІВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"12","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АГЕНТСТВО МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ""","0100535","КІРОВОГРАДСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"13","ОБЛАСНИЙ ФОНД ПІДТРИМКИ ІНДИВІДУАЛЬНОГО ЖИТЛОВОГО БУДІВНИЦТВА НА СЕЛІ","0100546","ЛЬВІВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"14","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛЬВІВСЬКЕ ОБЛАСНЕ УПРАВЛІННЯ ТУРИСТИЧНОЇ ІНФОРМАЦІЇ ТА ПОСЛУГ""","0100546","ЛЬВІВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"15","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АГЕНЦІЯ МІСЦЕВИХ ДОРІГ МИКОЛАЇВСЬКОЇ ОБЛАСТІ""","0100548","МИКОЛАЇВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"16","ДЕРЖАВНЕ НЕКОМЕРЦІЙНЕ ТОВАРИСТВО ""СЛУЖБА МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ""","0100551","ОДЕСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"17","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АГЕНТСТВО МІСЦЕВИХ ДОРІГ ПОЛТАВСЬКОЇ ОБЛАСТІ""","0100553","ПОЛТАВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"18","БЕРЕЖАНСЬКЕ РАЙОННЕ ДЕРЖАВНЕ АГРОПРОМИСЛОВЕ ПІДПРИЄМСТВО ""БЕРЕЖАНИРАЙАГРОЛІС""","0100561+01007","БЕРЕЖАНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"19","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХАРКІВСЬКИЙ БУДИНОК ГРАМПЛАТІВОК""","0100563","ХАРКІВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"20","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОРОГИ ХАРКІВЩИНИ""","0100563","ХАРКІВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"21","ДЕРЖАВНА УСТАНОВА ""ХАРКІВ-АРЕНА""","0100563","ХАРКІВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"22","ДЕРЖАВНЕ ПІДПРИЄМСТВО -ХМЕЛЬНИЦЬКИЙ ОБЛАСНИЙ ФОНД ПІДТРИМКИ ІНДИВІДУАЛЬНОГО ЖИТЛОВОГО БУДІВНИЦТВА НА СЕЛІ","0100568","ХМЕЛЬНИЦЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"23","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХМЕЛЬНИЦЬКА ОБЛАСНА СЛУЖБА ЄДИНОГО ЗАМОВНИКА""","0100568","ХМЕЛЬНИЦЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"24","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЛУЖБА МІСЦЕВИХ АВТОДОРІГ""","0100568","ХМЕЛЬНИЦЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"25","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХМЕЛЬНИЦЬКА ОБЛАСНА СЛУЖБА МІСЦЕВИХ АВТОДОРІГ""","0100568","ХМЕЛЬНИЦЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"26","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЛУЖБА МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ У ЧЕРКАСЬКІЙ ОБЛАСТІ""","0100571","ЧЕРКАСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"27","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АГЕНТСТВО МІСЦЕВИХ ДОРІГ ЧЕРНІГІВСЬКОЇ ОБЛАСТІ""","0100574","ЧЕРНІГІВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"28","ДЕРЖАВНЕ МАЛЕ ПІДПРИЄМСТВО ""КВАНТ-ОПТИКА""","0100580","КИЇВСЬКА МІСЬКА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"29","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ЗАХІД""","0100580","КИЇВСЬКА МІСЬКА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"30","ДЕРЖАВНЕ ПІДПРИЄМСТВО КИЇВСЬКИЙ ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ""КОМЕТА""","0100580","КИЇВСЬКА МІСЬКА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"31","ДЕРЖАВНЕ ПІДПРИЄМСТВО -КИЇВСЬКЕ ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ПРОТОН""","0100580","КИЇВСЬКА МІСЬКА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"32","ДЕРЖАВНЕ ПІДПРИЄМСТВО КИЇВСЬКЕ СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО -ТЕХНОЛОГІЧНЕ БЮРО ""ДНІПРО""","0100580","КИЇВСЬКА МІСЬКА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"33","ДЕРЖАВНЕ ПІДПРИЄМСТВО КИЇВСЬКЕ СПЕЦІАЛІЗОВАНЕ ПІДПРИЄМСТВО ОБЧИСЛЮВАЛЬНОЇ ТЕХНІКИ ТА ІНФОРМАТИКИ","0100580","КИЇВСЬКА МІСЬКА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"34","НАУКОВО-ТЕХНІЧНЕ ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РАДИКАЛ""","0100580","КИЇВСЬКА МІСЬКА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"35","""ЛЕНІНСЬКИЙ ВИНОРОБНИЙ ЗАВОД""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"36","КРАСНОПАРТИЗАНСЬКИЙ ВИНОРОБНИЙ ЗАВОД","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"37","ДЕРЖАВНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""АГРОПРОМКОМБІНАТ ""ВИНОГРАДНИЙ""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"38","ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ""ЄВПАТОРІЙСЬКИЙ""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"39","ДЕРЖАВНЕ ПІДПРИЄМСТВО РАДГОСП-ЗАВОД ІМ.1 МАЯ","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"40","ДЕРЖАВНЕ ПІДПРИЄМСТВО АГРОПРОМИСЛОВА ФІРМА ""ПРИБРЕЖНА""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"41","РАДГОСП-ЗАВОД ""ПЕРЕДГІР'Я""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"42","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БІЛОГІРСЬКИЙ ВИНОРОБНИЙ ЗАВОД""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"43","НОВОСЕЛІВСЬКИЙ ВИНОРОБНИЙ ЗАВОД","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"44","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПЕРВОМАЙСЬКИЙ ВИНОРОБНИЙ ЗАВОД""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"45","ВІЙСЬКОВИЙ РАДГОСП ""ГУРЗУФСЬКИЙ""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"46","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""ПЛОДОВОД""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"47","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""СОНЯЧНЕ""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"48","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""САКСЬКИЙ ВИНОРОБНИЙ ЗАВОД""","03005","МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ","ДП"
"49","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЕНЕРГОРИНОК""","11000","КАБІНЕТ МІНІСТРІВ УКРАЇНИ","ДП"
"50","ДЕРЖАВНЕ ПІДПРИЄМСТВО РЕДАКЦІЯ ГАЗЕТИ ""УРЯДОВИЙ КУР'ЄР""","11000","КАБІНЕТ МІНІСТРІВ УКРАЇНИ","ДП"
"51","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МУЛЬТИМЕДІЙНА ПЛАТФОРМА ІНОМОВЛЕННЯ УКРАЇНИ""","11000","КАБІНЕТ МІНІСТРІВ УКРАЇНИ","ДП"
"52","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГАРАНТОВАНИЙ ПОКУПЕЦЬ""","11000","КАБІНЕТ МІНІСТРІВ УКРАЇНИ","ДП"
"53","ВОСЬМИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"54","ДЕСЯТИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"55","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ, ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ І ПРОЕКТНИЙ ІНСТИТУТ ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ ""УКРНДІПРОЕКТ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"56","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДИРЕКЦІЯ ПО БУДІВНИЦТВУ ОБ'ЄКТІВ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"57","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОНЕЦЬКИЙ НАУКОВО- ДОСЛІДНИЙ ВУГІЛЬНИЙ ІНСТИТУТ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"58","ДЕРЖАВНА УСТАНОВА ""НАВЧАЛЬНО-МЕТОДИЧНИЙ ЦЕНТР З ГАЗОВОЇ БЕЗПЕКИ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"59","ДЕРЖАВНЕ ПІДПРИЄМСТВО ПІВДЕННИЙ ДЕРЖАВНИЙ ВИРОБНИЧИЙ ВПРОВАДЖУВАЛЬНИЙ ЦЕНТР НЕТРАДИЦІЙНИХ ДЖЕРЕЛ ЕНЕРГІЇ ""БОЯР""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"60","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СХІДНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"61","ЦЕНТРАЛЬНИЙ ШТАБ ДЕРЖАВНОЇ ВОЄНІЗОВАНОЇ ГІРНИЧОРЯТУВАЛЬНОЇ СЛУЖБИ У ВУГІЛЬНІЙ ПРОМИСЛОВОСТІ","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"62","ДЕРЖАВНЕ ПІДПРИЄМСТВО СЕЛИДІВСЬКЕ ВИРОБНИЧЕ УПРАВЛІННЯ ПО ЕКОЛОГІЇ РЕГІОНАЛЬНОГО ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""УКРВУГЛЕЕКОЛОГІЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"63","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДОНУЗЛАВСЬКА ВІТРОВА ЕЛЕКТРОСТАНЦІЯ","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"64","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНА ПАЛИВНА КОМПАНІЯ ""МАСМА""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"65","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БАР'ЄР""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"66","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВУГІЛЬНА КОМПАНІЯ ""КРАСНОЛИМАНСЬКА""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"67","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МИРНОГРАДВУГІЛЛЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"68","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛЬВІВВУГІЛЛЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"69","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВОЛИНЬВУГІЛЛЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"70","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РЕГІОНАЛЬНІ ЕЛЕКТРИЧНІ МЕРЕЖІ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"71","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРШАХТГІДРОЗАХИСТ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"72","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДОНЕЦЬКА ОБЛАСНА ДИРЕКЦІЯ З ЛІКВІДАЦІЇ ЗБИТКОВИХ ВУГЛЕДОБУВНИХ ТА ВУГЛЕПЕРЕРОБНИХ ПІДПРИЄМСТВ","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"73","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛУГАНСЬКА ОБЛАСНА ДИРЕКЦІЯ З ЛІКВІДАЦІЇ ЗБИТКОВИХ ВУГЛЕДОБУВНИХ ТА ВУГЛЕПЕРЕРОБНИХ ПІДПРИЄМСТВ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"74","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""38 ВІДДІЛ ІНЖЕНЕРНО-ТЕХНІЧНИХ ЧАСТИН""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"75","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ""НОВА""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"76","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЕЛИДІВВУГІЛЛЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"77","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТОРЕЦЬКВУГІЛЛЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"78","ЛЬВІВСЬКО-ВОЛИНСЬКИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ (АВАРІЙНО-РЯТУВАЛЬНИЙ) ЗАГІН","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"79","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТОУПРАВЛІННЯ ""ПІВДЕННОДОНБАСЬКЕ № 1""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"80","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ІМ.Д.С.КОРОТЧЕНКА""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"81","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПЕРЕДПУСКОВА ДИРЕКЦІЯ ШАХТИ №10 ""НОВОВОЛИНСЬКА""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"82","ДЕРЖАВНИЙ КОНЦЕРН ""ЯДЕРНЕ ПАЛИВО""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"83","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ""ВУГЛЕІННОВАЦІЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"84","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОБ'ЄДНАНА КОМПАНІЯ ""УКРВУГЛЕРЕСТРУКТУРИЗАЦІЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"85","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ""ПІВДЕННОДОНБАСЬКА №3 ІМ. М.С. СУРГАЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"86","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА №1 ""НОВОВОЛИНСЬКА""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"87","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ""ЗАРІЧНА""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"88","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ІМ. М. С. СУРГАЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"89","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА №9 ""НОВОВОЛИНСЬКА""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"90","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРВУГІЛЛЯ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"91","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОБРОПІЛЛЯВУГІЛЛЯ-ВИДОБУТОК""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"92","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МОРСЬКИЙ НАФТОВИЙ ТЕРМІНАЛ ""ПІВДЕННИЙ""","11074","МІНІСТЕРСТВО ЕНЕРГЕТИКИ УКРАЇНИ","ДП"
"93","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАВЧАЛЬНО - ДОСЛІДНЕ ГОСПОДАРСТВО ""КОМУНАР"" КРИМСЬКОГО ДЕРЖАВНОГО АГРОТЕХНОЛОГІЧНОГО УНІВЕРСТИТЕТУ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"94","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАВЧАЛЬНО-ДОСЛІДНЕ ГОСПОДАРСТВО ""ДУБЛЯНСЬКИЙ "" ЛЬВІВСЬКОГО ДЕРЖАВНОГО АГРАРНОГО УНІВЕРСИТЕТУ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"95","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАВЧАЛЬНО-ДОСЛІДНИЙ ПЛЕМІННИЙ ПТАХІВНИЧИЙ ЗАВОД ІМЕНІ ФРУНЗЕ НАЦІОНАЛЬНОГО УНІВЕРСИТЕТУ БІОРЕСУРСІВ І ПРИРОДОКОРИСТУВАННЯ УКРАЇНИ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"96","ВОЛИНСЬКЕ ПІДПРИЄМСТВО ПО ТОРГІВЛІ ТА ПОСТАЧАННЮ МІНІСТЕРСТВА ОСВІТИ УКРАЇНИ","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"97","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОБ'ЄДНАННЯ ПО ТОРГІВЛІ ТА ПОСТАЧАННЮ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"98","ДЕРЖАВНЕ ПІДПРИЄМСТВО ЗАПОРІЗЬКИЙ ДЕРЖАВНИЙ ЦЕНТР НАУКИ, ІННОВАЦІЙ ТА ІНФОРМАТИЗАЦІЇ","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
"99","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РІВНЕНСЬКИЙ ДЕРЖАВНИЙ ЦЕНТР НАУКИ, ІННОВАЦІЙ ТА ІНФОРМАТИЗАЦІЇ""","11085","МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ","ДП"
